timestamp,pid,value,device_serial,device_number,entry_time
1548724972000.0000000000,10,30.8900000000,A01BBE,5,1548724972000
1548724972250.0000000000,10,30.8900000000,A01BBE,5,1548724972000
1548724972500.0000000000,10,30.8900000000,A01BBE,5,1548724972000
1548724972750.0000000000,10,30.8900000000,A01BBE,5,1548724972000
1548724973000.0000000000,10,30.8900000000,A01BBE,5,1548724972000
1548724973250.0000000000,10,30.8900000000,A01BBE,5,1548724972000
1548724973500.0000000000,10,30.8900000000,A01BBE,5,1548724972000
1548724973750.0000000000,10,30.8900000000,A01BBE,5,1548724972000
1548724974000.0000000000,10,30.9100000000,A01BBE,5,1548724972000
1548724974250.0000000000,10,30.9100000000,A01BBE,5,1548724972000
1548724974500.0000000000,10,30.9100000000,A01BBE,5,1548724972000
1548724974750.0000000000,10,30.9100000000,A01BBE,5,1548724972000
1548724975000.0000000000,10,30.8900000000,A01BBE,5,1548724972000
1548724975250.0000000000,10,30.8900000000,A01BBE,5,1548724972000
1548724975500.0000000000,10,30.8900000000,A01BBE,5,1548724972000
1548724975750.0000000000,10,30.8900000000,A01BBE,5,1548724972000
1548724976000.0000000000,10,30.9100000000,A01BBE,5,1548724972000
1548724976250.0000000000,10,30.9100000000,A01BBE,5,1548724972000
1548724976500.0000000000,10,30.9100000000,A01BBE,5,1548724972000
1548724976750.0000000000,10,30.9100000000,A01BBE,5,1548724972000
1548724977000.0000000000,10,30.9300000000,A01BBE,5,1548724972000
1548724977250.0000000000,10,30.9300000000,A01BBE,5,1548724972000
1548724977500.0000000000,10,30.9300000000,A01BBE,5,1548724972000
1548724977750.0000000000,10,30.9300000000,A01BBE,5,1548724972000
1548724978000.0000000000,10,30.9500000000,A01BBE,5,1548724972000
1548724978250.0000000000,10,30.9500000000,A01BBE,5,1548724972000
1548724978500.0000000000,10,30.9500000000,A01BBE,5,1548724972000
1548724978750.0000000000,10,30.9500000000,A01BBE,5,1548724972000
1548724979000.0000000000,10,30.9700000000,A01BBE,5,1548724972000
1548724979250.0000000000,10,30.9700000000,A01BBE,5,1548724972000
1548724979500.0000000000,10,30.9700000000,A01BBE,5,1548724972000
1548724979750.0000000000,10,30.9700000000,A01BBE,5,1548724972000
1548724980000.0000000000,10,30.9500000000,A01BBE,5,1548724972000
1548724980250.0000000000,10,30.9500000000,A01BBE,5,1548724972000
1548724980500.0000000000,10,30.9500000000,A01BBE,5,1548724972000
1548724980750.0000000000,10,30.9500000000,A01BBE,5,1548724972000
1548724981000.0000000000,10,30.9700000000,A01BBE,5,1548724972000
1548724981250.0000000000,10,30.9700000000,A01BBE,5,1548724972000
1548724981500.0000000000,10,30.9700000000,A01BBE,5,1548724972000
1548724981750.0000000000,10,30.9700000000,A01BBE,5,1548724972000
1548724982000.0000000000,10,30.9700000000,A01BBE,5,1548724972000
1548724982250.0000000000,10,30.9700000000,A01BBE,5,1548724972000
1548724982500.0000000000,10,30.9700000000,A01BBE,5,1548724972000
1548724982750.0000000000,10,30.9700000000,A01BBE,5,1548724972000
1548724983000.0000000000,10,30.9900000000,A01BBE,5,1548724972000
1548724983250.0000000000,10,30.9900000000,A01BBE,5,1548724972000
1548724983500.0000000000,10,30.9900000000,A01BBE,5,1548724972000
1548724983750.0000000000,10,30.9900000000,A01BBE,5,1548724972000
1548724984000.0000000000,10,30.9900000000,A01BBE,5,1548724972000
1548724984250.0000000000,10,30.9900000000,A01BBE,5,1548724972000
1548724984500.0000000000,10,30.9900000000,A01BBE,5,1548724972000
1548724984750.0000000000,10,30.9900000000,A01BBE,5,1548724972000
1548724985000.0000000000,10,31.0300000000,A01BBE,5,1548724972000
1548724985250.0000000000,10,31.0300000000,A01BBE,5,1548724972000
1548724985500.0000000000,10,31.0300000000,A01BBE,5,1548724972000
1548724985750.0000000000,10,31.0300000000,A01BBE,5,1548724972000
1548724986000.0000000000,10,31.0100000000,A01BBE,5,1548724972000
1548724986250.0000000000,10,31.0100000000,A01BBE,5,1548724972000
1548724986500.0000000000,10,31.0100000000,A01BBE,5,1548724972000
1548724986750.0000000000,10,31.0100000000,A01BBE,5,1548724972000
1548724987000.0000000000,10,31.0300000000,A01BBE,5,1548724972000
1548724987250.0000000000,10,31.0300000000,A01BBE,5,1548724972000
1548724987500.0000000000,10,31.0300000000,A01BBE,5,1548724972000
1548724987750.0000000000,10,31.0300000000,A01BBE,5,1548724972000
1548724988000.0000000000,10,31.0300000000,A01BBE,5,1548724972000
1548724988250.0000000000,10,31.0300000000,A01BBE,5,1548724972000
1548724988500.0000000000,10,31.0300000000,A01BBE,5,1548724972000
1548724988750.0000000000,10,31.0300000000,A01BBE,5,1548724972000
1548724989000.0000000000,10,31.0500000000,A01BBE,5,1548724972000
1548724989250.0000000000,10,31.0500000000,A01BBE,5,1548724972000
1548724989500.0000000000,10,31.0500000000,A01BBE,5,1548724972000
1548724989750.0000000000,10,31.0500000000,A01BBE,5,1548724972000
1548724990000.0000000000,10,31.0700000000,A01BBE,5,1548724972000
1548724990250.0000000000,10,31.0700000000,A01BBE,5,1548724972000
1548724990500.0000000000,10,31.0700000000,A01BBE,5,1548724972000
1548724990750.0000000000,10,31.0700000000,A01BBE,5,1548724972000
1548724991000.0000000000,10,31.0700000000,A01BBE,5,1548724972000
1548724991250.0000000000,10,31.0700000000,A01BBE,5,1548724972000
1548724991500.0000000000,10,31.0700000000,A01BBE,5,1548724972000
1548724991750.0000000000,10,31.0700000000,A01BBE,5,1548724972000
1548724992000.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548724992250.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548724992500.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548724992750.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548724993000.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548724993250.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548724993500.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548724993750.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548724994000.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548724994250.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548724994500.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548724994750.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548724995000.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548724995250.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548724995500.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548724995750.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548724996000.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548724996250.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548724996500.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548724996750.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548724997000.0000000000,10,31.1300000000,A01BBE,5,1548724972000
1548724997250.0000000000,10,31.1300000000,A01BBE,5,1548724972000
1548724997500.0000000000,10,31.1300000000,A01BBE,5,1548724972000
1548724997750.0000000000,10,31.1300000000,A01BBE,5,1548724972000
1548724998000.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548724998250.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548724998500.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548724998750.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548724999000.0000000000,10,31.1300000000,A01BBE,5,1548724972000
1548724999250.0000000000,10,31.1300000000,A01BBE,5,1548724972000
1548724999500.0000000000,10,31.1300000000,A01BBE,5,1548724972000
1548724999750.0000000000,10,31.1300000000,A01BBE,5,1548724972000
1548725000000.0000000000,10,31.1300000000,A01BBE,5,1548724972000
1548725000250.0000000000,10,31.1300000000,A01BBE,5,1548724972000
1548725000500.0000000000,10,31.1300000000,A01BBE,5,1548724972000
1548725000750.0000000000,10,31.1300000000,A01BBE,5,1548724972000
1548725001000.0000000000,10,31.1300000000,A01BBE,5,1548724972000
1548725001250.0000000000,10,31.1300000000,A01BBE,5,1548724972000
1548725001500.0000000000,10,31.1300000000,A01BBE,5,1548724972000
1548725001750.0000000000,10,31.1300000000,A01BBE,5,1548724972000
1548725002000.0000000000,10,31.1300000000,A01BBE,5,1548724972000
1548725002250.0000000000,10,31.1300000000,A01BBE,5,1548724972000
1548725002500.0000000000,10,31.1300000000,A01BBE,5,1548724972000
1548725002750.0000000000,10,31.1300000000,A01BBE,5,1548724972000
1548725003000.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725003250.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725003500.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725003750.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725004000.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548725004250.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548725004500.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548725004750.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548725005000.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548725005250.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548725005500.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548725005750.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548725006000.0000000000,10,31.1300000000,A01BBE,5,1548724972000
1548725006250.0000000000,10,31.1300000000,A01BBE,5,1548724972000
1548725006500.0000000000,10,31.1300000000,A01BBE,5,1548724972000
1548725006750.0000000000,10,31.1300000000,A01BBE,5,1548724972000
1548725007000.0000000000,10,31.1300000000,A01BBE,5,1548724972000
1548725007250.0000000000,10,31.1300000000,A01BBE,5,1548724972000
1548725007500.0000000000,10,31.1300000000,A01BBE,5,1548724972000
1548725007750.0000000000,10,31.1300000000,A01BBE,5,1548724972000
1548725008000.0000000000,10,31.1300000000,A01BBE,5,1548724972000
1548725008250.0000000000,10,31.1300000000,A01BBE,5,1548724972000
1548725008500.0000000000,10,31.1300000000,A01BBE,5,1548724972000
1548725008750.0000000000,10,31.1300000000,A01BBE,5,1548724972000
1548725009000.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725009250.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725009500.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725009750.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725010000.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725010250.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725010500.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725010750.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725011000.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725011250.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725011500.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725011750.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725012000.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725012250.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725012500.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725012750.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725013000.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725013250.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725013500.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725013750.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725014000.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725014250.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725014500.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725014750.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725015000.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725015250.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725015500.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725015750.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725016000.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725016250.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725016500.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725016750.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725017000.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548725017250.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548725017500.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548725017750.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548725018000.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725018250.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725018500.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725018750.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725019000.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548725019250.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548725019500.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548725019750.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548725020000.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725020250.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725020500.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725020750.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725021000.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548725021250.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548725021500.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548725021750.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548725022000.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548725022250.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548725022500.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548725022750.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548725023000.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548725023250.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548725023500.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548725023750.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548725024000.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548725024250.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548725024500.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548725024750.0000000000,10,31.1100000000,A01BBE,5,1548724972000
1548725025000.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725025250.0000000000,10,31.0900000000,A01BBE,5,1548724972000
1548725025500.0000000000,10,31.0900000000,A01BBE,5,1548724972000
