timestamp,pid,value,device_serial,device_number,entry_time
1548831343360.0800781250,12,718.7830000000,A01BBE,5,1548831328000
1548831344063.2399902344,12,703.1570000000,A01BBE,5,1548831328000
1548831344766.3898925781,12,703.1570000000,A01BBE,5,1548831328000
1548831345453.9199218750,12,687.5310000000,A01BBE,5,1548831328000
1548831346110.1999511719,12,656.2800000000,A01BBE,5,1548831328000
1548831346766.4799804688,12,656.2800000000,A01BBE,5,1548831328000
1548831347407.1398925781,12,640.6540000000,A01BBE,5,1548831328000
1548831348063.4199218750,12,656.2800000000,A01BBE,5,1548831328000
1548831348735.3200683594,12,671.9060000000,A01BBE,5,1548831328000
1548831349454.1101074219,12,718.7830000000,A01BBE,5,1548831328000
1548831350172.8898925781,12,718.7830000000,A01BBE,5,1548831328000
1548831350922.9199218750,12,750.0340000000,A01BBE,5,1548831328000
1548831351688.5800781250,12,765.6600000000,A01BBE,5,1548831328000
1548831352501.1201171875,12,812.5370000000,A01BBE,5,1548831328000
1548831353235.5300292969,12,734.4090000000,A01BBE,5,1548831328000
1548831353969.9399414062,12,734.4090000000,A01BBE,5,1548831328000
1548831354719.9699707031,12,750.0340000000,A01BBE,5,1548831328000
1548831355376.2500000000,12,656.2800000000,A01BBE,5,1548831328000
1548831356032.5300292969,12,656.2800000000,A01BBE,5,1548831328000
1548831356626.3100585938,12,593.7770000000,A01BBE,5,1548831328000
1548831362423.4499511719,12,812.5370000000,A01BBE,5,1548831328000
1548831363235.9899902344,12,812.5370000000,A01BBE,5,1548831328000
1548831364017.2700195312,12,781.2860000000,A01BBE,5,1548831328000
1548831364782.9299316406,12,765.6600000000,A01BBE,5,1548831328000
1548831369705.0300292969,12,796.9110000000,A01BBE,5,1548831328000
1548831370486.3200683594,12,781.2860000000,A01BBE,5,1548831328000
1548831371283.2299804688,12,796.9110000000,A01BBE,5,1548831328000
1548831372111.3898925781,12,828.1630000000,A01BBE,5,1548831328000
1548831372923.9299316406,12,812.5370000000,A01BBE,5,1548831328000
1548831373720.8400878906,12,796.9110000000,A01BBE,5,1548831328000
1548831374549.0100097656,12,828.1630000000,A01BBE,5,1548831328000
1548831375361.5400390625,12,812.5370000000,A01BBE,5,1548831328000
1548831376111.5800781250,12,750.0340000000,A01BBE,5,1548831328000
1548831382205.6101074219,12,843.7890000000,A01BBE,5,1548831328000
1548831382893.1398925781,12,687.5310000000,A01BBE,5,1548831328000
1548831383643.1699218750,12,750.0340000000,A01BBE,5,1548831328000
1548831384377.5800781250,12,734.4090000000,A01BBE,5,1548831328000
1548831385158.8701171875,12,781.2860000000,A01BBE,5,1548831328000
1548831385846.3999023438,12,687.5310000000,A01BBE,5,1548831328000
1548831386533.9299316406,12,687.5310000000,A01BBE,5,1548831328000
1548831387252.7099609375,12,718.7830000000,A01BBE,5,1548831328000
1548831388018.3701171875,12,765.6600000000,A01BBE,5,1548831328000
1548831388721.5300292969,12,703.1570000000,A01BBE,5,1548831328000
1548831389471.5600585938,12,750.0340000000,A01BBE,5,1548831328000
1548831390205.9699707031,12,734.4090000000,A01BBE,5,1548831328000
1548831390909.1298828125,12,703.1570000000,A01BBE,5,1548831328000
1548831391596.6599121094,12,687.5310000000,A01BBE,5,1548831328000
1548831392393.5700683594,12,796.9110000000,A01BBE,5,1548831328000
1548831393143.6101074219,12,750.0340000000,A01BBE,5,1548831328000
1548831397300.0500488281,12,687.5310000000,A01BBE,5,1548831328000
1548831398003.1999511719,12,703.1570000000,A01BBE,5,1548831328000
1548831398737.6101074219,12,734.4090000000,A01BBE,5,1548831328000
1548831399487.6499023438,12,750.0340000000,A01BBE,5,1548831328000
1548831400206.4299316406,12,718.7830000000,A01BBE,5,1548831328000
1548831400893.9599609375,12,687.5310000000,A01BBE,5,1548831328000
1548831401581.4899902344,12,687.5310000000,A01BBE,5,1548831328000
1548831402284.6499023438,12,703.1570000000,A01BBE,5,1548831328000
1548831403003.4299316406,12,718.7830000000,A01BBE,5,1548831328000
1548831403737.8400878906,12,734.4090000000,A01BBE,5,1548831328000
1548831404472.2500000000,12,734.4090000000,A01BBE,5,1548831328000
1548831405206.6599121094,12,734.4090000000,A01BBE,5,1548831328000
1548831405956.6899414062,12,750.0340000000,A01BBE,5,1548831328000
1548831406722.3500976562,12,765.6600000000,A01BBE,5,1548831328000
1548831407488.0100097656,12,765.6600000000,A01BBE,5,1548831328000
1548831408206.8000488281,12,718.7830000000,A01BBE,5,1548831328000
1548831408894.3300781250,12,687.5310000000,A01BBE,5,1548831328000
1548831409597.4899902344,12,703.1570000000,A01BBE,5,1548831328000
1548831410285.0200195312,12,687.5310000000,A01BBE,5,1548831328000
1548831410956.9199218750,12,671.9060000000,A01BBE,5,1548831328000
1548831411613.1999511719,12,656.2800000000,A01BBE,5,1548831328000
