timestamp,pid,value,device_serial,device_number,entry_time
1552624192000.0000000000,24,0E-10,A01525,1,1552624192000
1552624192015.6201171875,24,0E-10,A01525,1,1552624192000
1552624192031.2500000000,24,0E-10,A01525,1,1552624192000
1552624192046.8798828125,24,0E-10,A01525,1,1552624192000
1552624192062.5000000000,24,0E-10,A01525,1,1552624192000
1552624192078.1201171875,24,0E-10,A01525,1,1552624192000
1552624192093.7500000000,24,0E-10,A01525,1,1552624192000
1552624192109.3798828125,24,0E-10,A01525,1,1552624192000
1552624192125.0000000000,24,0E-10,A01525,1,1552624192000
1552624192140.6201171875,24,0E-10,A01525,1,1552624192000
1552624192156.2500000000,24,0E-10,A01525,1,1552624192000
1552624192171.8798828125,24,0.0100000000,A01525,1,1552624192000
1552624192187.5000000000,24,0.0100000000,A01525,1,1552624192000
1552624192203.1201171875,24,0E-10,A01525,1,1552624192000
1552624192218.7500000000,24,-0.0300000000,A01525,1,1552624192000
1552624192234.3798828125,24,-0.0500000000,A01525,1,1552624192000
1552624192250.0000000000,24,-0.0500000000,A01525,1,1552624192000
1552624192265.6201171875,24,0E-10,A01525,1,1552624192000
1552624192281.2500000000,24,0.1300000000,A01525,1,1552624192000
1552624192296.8798828125,24,0.3600000000,A01525,1,1552624192000
1552624192312.5000000000,24,0.6600000000,A01525,1,1552624192000
1552624192328.1201171875,24,1.0100000000,A01525,1,1552624192000
1552624192343.7500000000,24,1.3700000000,A01525,1,1552624192000
1552624192359.3798828125,24,1.7200000000,A01525,1,1552624192000
1552624192375.0000000000,24,2.0600000000,A01525,1,1552624192000
1552624192390.6201171875,24,2.4000000000,A01525,1,1552624192000
1552624192406.2500000000,24,2.7900000000,A01525,1,1552624192000
1552624192421.8798828125,24,3.2400000000,A01525,1,1552624192000
1552624192437.5000000000,24,3.8000000000,A01525,1,1552624192000
1552624192453.1201171875,24,4.4200000000,A01525,1,1552624192000
1552624192468.7500000000,24,5.0600000000,A01525,1,1552624192000
1552624192484.3798828125,24,5.6600000000,A01525,1,1552624192000
1552624192500.0000000000,24,6.2000000000,A01525,1,1552624192000
1552624192515.6201171875,24,6.6800000000,A01525,1,1552624192000
1552624192531.2500000000,24,7.1500000000,A01525,1,1552624192000
1552624192546.8798828125,24,7.6800000000,A01525,1,1552624192000
1552624192562.5000000000,24,8.3100000000,A01525,1,1552624192000
1552624192578.1201171875,24,9.1400000000,A01525,1,1552624192000
1552624192593.7500000000,24,10.0900000000,A01525,1,1552624192000
1552624192609.3798828125,24,11.0400000000,A01525,1,1552624192000
1552624192625.0000000000,24,11.8800000000,A01525,1,1552624192000
1552624192640.6201171875,24,12.5600000000,A01525,1,1552624192000
1552624192656.2500000000,24,13.1400000000,A01525,1,1552624192000
1552624192671.8798828125,24,13.7600000000,A01525,1,1552624192000
